group	AUC	high_tfx	low_tfx	overall
		0.97321	0.63889	0.92138
		0.89356	0.71429	0.87500
		0.95455	0.78571	0.94400
		0.95215	0.71429	0.90661
		0.98880	0.79630	0.95942
		0.96000	0.43750	0.87245
		0.97386	0.81250	0.93645
		0.95169	0.40000	0.94737
		0.94097	0.87500	0.93561
		0.95556	0.37500	0.90104
		0.91610	0.90476	0.91270
		0.90850	0.85000	0.89510
		0.96094	0.63636	0.88735
		0.95679	0.66667	0.91515
		0.88519	0.40000	0.84127
		0.97222	0.70833	0.93878
		0.90588	0.62500	0.87455
		0.96094	0.77778	0.90923
		0.98897	0.69048	0.92817
		0.97024	0.83333	0.94727
		0.91389	0.75000	0.87719
		0.96333	0.85714	0.92593
		0.96154	0.70707	0.90457
		0.91852	0.63889	0.87302
		0.92017	0.52885	0.84242
		0.97619	0.84375	0.96615
		0.97460	0.52083	0.91388
		1.00000	0.79167	0.96552
		0.91544	0.70000	0.88694
		0.98142	0.62500	0.90857
		0.98810	0.91667	0.98148
		0.95192	0.50000	0.85921
		0.95833	0.50000	0.86167
		0.96732	0.79167	0.93167
		0.93645	0.71429	0.91415
		0.96382	0.82857	0.94384
		0.97759	0.64615	0.93182
		0.99654	0.56000	0.91751
		1.00000	0.55556	0.90909
		0.93316	0.87500	0.90313
		0.94444	0.68333	0.89444
		0.98056	0.52500	0.92391
		0.95682	0.70000	0.92308
		0.93056	0.56818	0.85484
		0.92014	0.72727	0.88214
		0.99158	0.45000	0.93687
		0.93056	0.41667	0.87654
		0.95098	0.65625	0.90110
		0.94152	0.73333	0.91493
		0.90850	0.83333	0.88095
		0.97523	0.75824	0.92057
		0.91667	0.71429	0.88000
		0.92810	0.65000	0.88986
		0.95798	0.83333	0.93028
		0.95588	1.00000	0.95623
		0.87171	0.78333	0.86308
		0.92750	0.52083	0.85852
		0.90659	0.71429	0.90119
		0.99495	0.61111	0.92708
		0.97861	0.79167	0.94493
		0.95175	0.69841	0.88346
		0.97000	0.46667	0.85842
		0.97917	0.72727	0.93268
		0.95798	0.55556	0.92727
		0.99380	0.77778	0.97529
		0.91429	0.78571	0.89456
		0.96687	0.50000	0.92143
		0.98214	0.65000	0.92462
		0.95518	0.66667	0.91385
		0.96154	0.67857	0.92754
		0.98980	0.42857	0.93651
		0.95455	0.30159	0.87355
		1.00000	0.82143	0.96997
		0.96675	0.77143	0.93434
		0.96000	1.00000	0.95417
		0.94373	0.75000	0.92320
		0.95330	0.67500	0.91204
		0.99167	0.66667	0.93070
		0.97039	0.70000	0.91004
		0.88009	0.53333	0.86207
		0.96746	0.51948	0.87753
		0.88214	0.69231	0.86151
		0.95503	0.64062	0.90186
		0.95518	0.74286	0.91005
		0.93437	0.66667	0.90448
		0.91729	0.80000	0.90865
		0.90750	0.84375	0.90625
		0.96429	0.90909	0.95385
		0.94444	0.27500	0.86834
		0.99169	0.77778	0.93000
		1.00000	0.66667	0.97222
		0.99722	0.48148	0.93534
		0.98319	0.76389	0.93767
		0.92647	0.68056	0.88160
		0.91388	1.00000	0.91770
		0.88000	0.80000	0.87333
		0.95833	0.83333	0.94531
		0.99471	0.56250	0.93200
		1.00000	0.72222	0.97321
		0.89423	0.95556	0.91991
		0.98810	0.83929	0.95952
		0.96914	0.47222	0.91246
		0.95686	0.58333	0.87130
		0.93092	0.83929	0.90385
		0.95928	0.58000	0.88889
		0.98355	0.74074	0.94400
		0.92448	0.62500	0.89435
		0.86425	0.84722	0.87363
		0.95356	0.77273	0.89143
		0.98693	0.79167	0.96914
		0.94152	0.50000	0.85119
		0.97041	0.32000	0.84300
		0.98947	0.96429	0.98419
		0.92727	0.85000	0.90167
		0.97059	0.38776	0.87667
		0.87105	0.55556	0.82891
		0.95000	0.60417	0.83957
		0.91538	0.74725	0.86212
		0.94746	0.86667	0.94312
		0.92260	0.63077	0.85795
		0.87745	0.83333	0.87500
		0.91190	0.33333	0.87101
		0.94034	0.70833	0.91964
		0.99673	0.53333	0.93098
		0.94203	0.76667	0.91629
		0.89474	0.77500	0.88276
		0.92014	0.84722	0.90586
		0.95882	0.65278	0.89810
		0.91729	0.35185	0.81913
		0.97333	0.50909	0.88889
		1.00000	0.50000	0.90513
		0.98485	0.69444	0.94405
		0.93506	0.60000	0.86562
		0.93838	0.88000	0.93531
		0.88235	0.56250	0.83538
		1.00000	0.57778	0.95151
		0.99564	0.80556	0.95906
		0.96939	0.80952	0.92391
		0.96667	0.75000	0.92560
		0.85294	0.60714	0.80190
		0.94545	0.82143	0.92023
		1.00000	0.85000	0.97601
		0.98990	0.65000	0.92017
		0.96250	0.54545	0.87965
		0.94167	0.97222	0.95712
		0.91783	0.30000	0.85730
		0.96429	0.75385	0.91704
		0.96465	0.50000	0.90909
		0.90461	0.37500	0.81034
		0.98529	0.48148	0.93980
		0.93651	0.71429	0.91304
		0.96784	0.85714	0.92456
		0.95238	0.92188	0.94603
		0.94444	0.74026	0.89250
		0.94444	0.73333	0.92110
		0.97407	0.75556	0.93148
		0.91729	0.68750	0.90969
		0.93704	0.59375	0.87945
		0.95156	0.62500	0.90286
		0.90882	1.00000	0.89319
		0.94921	0.83333	0.92912
		0.96875	0.87500	0.95469
		0.92388	0.80000	0.88519
		0.89947	0.77778	0.88000
		0.96639	0.65909	0.90923
		0.89167	0.80303	0.88536
		0.98000	0.80000	0.96000
		0.95000	0.90909	0.93311
		0.92798	0.32468	0.82308
		0.98693	0.75000	0.97166
		0.87654	0.58333	0.82887
		0.97222	0.55556	0.90809
		0.98762	0.65625	0.94957
		0.93095	0.92424	0.92711
		0.87566	0.78571	0.85920
		0.96250	0.16667	0.87636
		0.97143	0.84000	0.94615
		0.95578	0.67500	0.91667
		0.93750	0.77778	0.90682
		0.99346	0.60938	0.91846
		0.91667	0.80000	0.89600
		0.95238	0.50000	0.84783
		0.97353	0.64815	0.89497
		0.86555	0.67500	0.84013
		0.96000	0.66667	0.92960
		1.00000	0.80000	0.97835
		0.88722	0.76364	0.87308
		0.91304	0.55000	0.86762
		0.94771	0.96667	0.96515
		0.97187	0.61667	0.90533
		0.98519	0.54167	0.91919
		0.91925	0.57143	0.86667
		0.91880	0.75000	0.87854
		0.98039	0.86111	0.94042
		0.97778	0.80952	0.95402
		0.92308	1.00000	0.92517
		0.88889	0.22222	0.85333
		0.97813	0.75000	0.94483
		0.91228	0.87500	0.88683
		0.95278	0.62500	0.89349
		0.93117	0.65714	0.91137
		0.96491	0.66000	0.88906
		1.00000	0.60317	0.93440
		0.94545	0.62500	0.89667
		0.96579	0.61429	0.91410
		0.90809	0.86000	0.89771
		0.95926	0.78000	0.91857
		0.94750	0.44444	0.85809
		0.91481	0.56250	0.87854
		0.92439	0.96970	0.93326
		0.91765	0.51515	0.89038
		1.00000	0.45000	0.93590
		0.99488	0.67347	0.94861
		0.90727	1.00000	0.91369
		0.93056	0.75000	0.91358
		0.92328	0.80556	0.92148
		0.93235	0.66667	0.88833
		0.98452	0.58333	0.95690
		0.90850	0.59524	0.85000
		0.97222	0.80000	0.92702
		0.92690	0.70909	0.87826
		0.93434	0.79167	0.90694
		0.92398	0.72000	0.90774
		0.93233	0.55000	0.86351
		1.00000	0.44156	0.86632
		0.91270	0.72000	0.88499
		0.96842	0.83333	0.92695
		0.88545	0.66667	0.85714
		0.88690	0.71429	0.86025
		0.91111	0.66667	0.87542
		0.95933	0.88095	0.93132
		0.94118	0.40816	0.86265
		0.99740	0.61364	0.94286
		0.88235	0.82500	0.88312
		0.92941	0.65714	0.84512
		0.96078	0.66667	0.87366
		0.94652	0.83333	0.93188
		0.95156	0.72222	0.92809
		1.00000	0.74074	0.95636
		0.93519	0.63889	0.87269
		0.96181	0.85714	0.93261
		0.93333	0.57576	0.86040
		0.89722	0.63889	0.86058
		0.94976	0.84091	0.93412
		0.93434	0.40000	0.89739
		0.90000	0.75000	0.90064
		0.96524	0.83333	0.93639
		0.90833	0.70000	0.89723
		0.92570	0.55102	0.87821
		0.99773	0.88889	0.97984
		0.94183	0.83333	0.93333
		0.98086	0.95000	0.97115
		0.94118	0.72727	0.87649
		0.87500	0.69697	0.82051
		0.90882	0.66667	0.88566
		0.92434	0.77273	0.91333
		0.98095	0.75000	0.93372
		0.95238	0.66327	0.91169
		0.95722	0.68519	0.90271
		0.92222	0.52083	0.86982
		0.89377	0.86111	0.89216
		0.98039	0.56818	0.93103
		0.94035	0.62857	0.88462
		1.00000	0.53704	0.92803
		0.97619	0.80556	0.95370
		0.94629	0.42500	0.89443
		0.94444	0.65079	0.90000
		0.92628	0.68750	0.90000
		0.98810	0.88889	0.96640
		0.89610	0.83333	0.87931
		0.98947	0.73333	0.94444
		0.94848	0.67532	0.86737
		0.99211	0.95238	0.97492
		0.94848	0.83333	0.92687
		0.97101	0.78125	0.94968
		0.93048	0.51429	0.86111
		1.00000	0.63636	0.94527
		0.96875	0.47619	0.89273
		0.90882	0.57500	0.86728
		0.97076	0.79592	0.94154
		0.95455	0.68750	0.90580
		0.94737	0.76923	0.88141
		0.96110	0.78125	0.93408
		0.94737	0.75000	0.92949
		0.97826	0.90909	0.96041
		0.93529	0.71667	0.88986
		0.93162	0.64286	0.87500
		0.97052	0.53571	0.90857
		0.98892	0.60000	0.91645
		0.94386	0.68889	0.90179
		0.97917	0.88095	0.94545
		0.96000	0.64000	0.92960
		0.97354	0.67500	0.93343
		0.96970	0.55000	0.90797
		0.91270	0.87500	0.90805
		0.95556	0.79167	0.91667
		0.96212	0.57143	0.91523
		0.94242	0.79167	0.93333
		0.98904	0.81250	0.96875
		0.99145	0.73333	0.94862
		0.91667	0.67500	0.88966
		0.90476	0.78571	0.89123
		0.99524	0.58333	0.92989
		0.95486	0.52778	0.89116
		0.98667	0.69048	0.93255
		0.96382	0.73810	0.91071
		0.96825	0.54167	0.91311
		0.97263	0.71875	0.94862
		0.89706	0.70000	0.87040
		0.91049	0.57500	0.87013
		0.99346	0.72222	0.97727
		0.95238	0.45714	0.89286
		0.98039	0.36667	0.88148
		0.97222	0.66667	0.92754
		0.91842	0.85000	0.91667
		0.92941	0.75000	0.91327
		0.94792	0.74359	0.91789
		0.93235	0.75556	0.89692
		0.96944	0.66667	0.94384
		0.99632	0.59184	0.92754
		0.93250	0.39286	0.87031
		0.95130	0.86667	0.94388
		0.94737	0.77273	0.94533
		0.95666	0.56000	0.90530
		0.94933	0.95833	0.94397
		0.89323	0.62857	0.86807
		0.99679	0.68182	0.94135
		0.88235	0.67857	0.86111
		0.89474	0.44231	0.86435
		0.90160	0.73438	0.86022
		0.99185	0.76190	0.93405
		0.92273	0.75000	0.88645
		0.97647	0.82143	0.96473
		0.95667	0.61905	0.92512
		0.95989	0.75000	0.93548
		0.94974	0.54545	0.86079
		0.92727	0.75000	0.89966
		0.93791	0.81818	0.90747
		0.91919	0.75000	0.88337
		0.96691	0.51429	0.88018
		0.98252	0.39683	0.87581
		0.98880	0.63889	0.95169
		0.95000	0.64286	0.89021
		0.92895	0.79167	0.89857
		0.93056	0.69697	0.89259
		1.00000	0.69048	0.96219
		0.91413	0.92000	0.92188
		0.96000	0.58333	0.90598
		0.93627	0.80000	0.91903
		1.00000	0.70455	0.96408
		0.95556	0.88095	0.93098
		0.92424	0.70000	0.88143
		0.87603	0.41667	0.85565
		0.96563	0.81818	0.92889
		0.90104	0.80000	0.89628
		0.98077	0.65455	0.90947
		0.91389	0.53571	0.82212
		0.90821	1.00000	0.90806
		0.97233	0.77778	0.95448
		0.93478	0.95000	0.93548
		0.95625	0.53333	0.89455
		0.98667	0.50000	0.94246
		0.96581	0.65000	0.91667
		0.88636	0.45833	0.84441
		0.95556	0.84375	0.94737
		0.95215	0.93333	0.95118
		0.92593	0.66667	0.90451
		0.97333	0.60000	0.94815
		0.94139	0.78333	0.89643
		0.98974	0.61111	0.95139
		0.92063	0.65306	0.89714
		0.93498	0.68333	0.88416
		0.95767	0.50000	0.92118
		0.92484	0.77500	0.90609
		0.95865	0.42188	0.78395
		0.99198	0.85185	0.98462
		0.90930	0.88000	0.90447
		0.91063	0.70000	0.89683
		0.97354	0.70909	0.91712
		0.95356	0.78788	0.94143
		0.91877	0.85714	0.92000
		0.91903	0.78788	0.90175
		0.99206	0.78788	0.94847
		0.92614	0.73333	0.90476
		0.93831	0.71429	0.91026
		0.89706	0.66667	0.87908
		0.91905	0.71429	0.88752
		0.92308	0.84000	0.91358
		0.94474	0.76190	0.93311
		0.92879	0.90476	0.93750
		0.94156	0.82500	0.93921
		0.97354	0.95000	0.95804
		0.93651	0.61905	0.89732
		0.86111	0.50000	0.77989
		0.95109	0.86667	0.94345
		0.90263	0.85000	0.88839
		0.99673	0.62500	0.93692
		0.96617	0.45833	0.85846
		0.89850	0.67500	0.88447
		0.89474	0.66667	0.85263
		0.98810	0.85714	0.96291
		0.96471	1.00000	0.95652
		0.96316	0.80000	0.93429
		0.99160	0.84000	0.96154
		0.93789	0.94444	0.93750
		0.94363	0.50000	0.88571
		0.93478	0.77273	0.89853
		0.96833	0.47619	0.91750
		0.99160	0.65000	0.94925
		0.94737	0.95000	0.93269
		0.96581	0.91667	0.95000
		0.94236	0.71429	0.88690
		0.94697	0.76667	0.93634
		0.96104	0.89286	0.94621
		0.90909	0.72000	0.88567
		0.95238	0.45833	0.89410
		0.94737	0.73333	0.89296
		0.96135	0.75926	0.92848
		0.90222	0.94286	0.90000
		0.96078	0.67308	0.91877
		0.94118	0.61905	0.89167
		0.94481	0.75926	0.89839
		0.94508	0.59375	0.90463
		1.00000	0.76000	0.96591
		0.95502	0.76190	0.92917
		0.90000	0.73077	0.87620
		0.96561	0.69841	0.91067
		0.89167	0.52273	0.81341
		0.93778	0.75926	0.92659
		0.93860	0.69444	0.91833
		0.90000	0.72727	0.88757
		0.96257	0.68333	0.90038
		0.93095	0.61111	0.91754
		0.94667	0.72222	0.89435
		0.98913	0.62500	0.97022
		0.90559	0.67857	0.86700
		0.98438	0.67857	0.90417
		0.89844	0.45000	0.85192
		0.92547	0.53333	0.87533
		0.88056	0.65714	0.85600
		0.97199	0.75000	0.92837
		0.92063	0.71429	0.88245
		0.93860	0.75000	0.92809
		0.92059	0.60000	0.88381
		0.88636	0.83333	0.88859
		0.95098	0.87302	0.93538
		0.93947	0.74286	0.90278
		0.91319	0.33333	0.87406
		0.97059	0.71429	0.94000
		0.96190	0.74603	0.93227
		0.93439	0.62500	0.90963
		0.96992	0.69697	0.91200
		0.97697	0.87500	0.96212
		0.93985	0.78333	0.92271
		0.95588	0.52381	0.88816
		0.91204	0.56667	0.86638
		0.94211	0.61818	0.87600
		0.96500	0.56250	0.90811
		0.98485	0.53333	0.93944
		0.94372	0.50000	0.91014
		0.91503	0.86111	0.91005
		0.90489	0.75000	0.87946
		0.96000	0.68750	0.91346
		0.91358	0.64286	0.87667
		0.92803	0.60000	0.84150
		0.93333	0.64583	0.89827
		0.97500	0.54545	0.89918
		0.91250	0.86000	0.90308
		0.92667	0.60000	0.92545
		0.94737	0.53030	0.86667
		0.96212	0.87500	0.94028
		0.93611	0.43750	0.88961
		0.95882	0.36364	0.91613
		0.95614	0.80000	0.92000
		0.95636	0.72500	0.91429
		0.90119	0.74074	0.88966
		0.97368	0.86111	0.95202
		0.93182	0.85185	0.91407
		0.98043	0.81250	0.95320
		0.94678	0.53333	0.89118
		0.94652	0.53125	0.88615
		0.88971	0.70455	0.87125
		0.88438	0.92593	0.88348
		0.95238	0.83333	0.92741
		0.96061	0.69091	0.91061
		1.00000	0.73333	0.96154
		0.88148	0.66667	0.85648
		0.93135	0.83333	0.92985
		0.96923	0.58333	0.86957
		0.96307	0.85714	0.94364
		0.94958	0.96154	0.91250
		0.93915	0.83333	0.91954
		0.92105	0.55556	0.85979
		0.94183	0.70000	0.87798
		0.93478	0.80000	0.90357
		0.90000	0.71250	0.87172
		0.97647	0.62857	0.91770
		0.92500	0.73333	0.89778
		0.92484	0.76364	0.90596
		0.92614	0.58333	0.86452
		0.96931	0.85714	0.95263
		0.93000	0.82500	0.90000
		0.94940	0.72222	0.90833
		0.94444	0.43750	0.90134
		0.92000	0.66667	0.87404
		0.94019	0.66667	0.91385
		0.94118	0.88312	0.93827
		0.93162	0.75556	0.89921
		0.94091	0.58333	0.88776
		0.93704	0.64286	0.87762
		0.94427	0.63636	0.88244
		0.92593	0.68000	0.89560
		0.83004	0.79221	0.84091
		0.90043	0.77778	0.85313
		0.94524	0.79630	0.92949
		0.89724	0.35000	0.82184
		0.97571	0.54167	0.89905
		0.96581	0.72619	0.89833
		0.92593	0.87500	0.92573
		0.95322	0.67532	0.89333
		0.95370	0.80000	0.93768
		0.93750	0.87500	0.93040
		0.92157	0.80000	0.91223
		0.90250	0.91667	0.90909
		0.94444	0.50000	0.85404
		0.93750	0.92857	0.93996
		0.91667	0.62963	0.84770
		0.97143	0.72222	0.93175
		0.93750	0.52273	0.86379
		0.98684	0.41667	0.89969
		0.92500	0.69444	0.90797
		0.99118	0.78571	0.97354
		0.85464	0.29167	0.79938
		0.99621	0.69444	0.92097
		0.91319	0.65000	0.89336
		0.93016	1.00000	0.94643
		0.91093	0.63333	0.88222
		0.97500	0.63333	0.92702
		1.00000	0.76667	0.95833
		0.90789	0.91667	0.90000
		0.95726	0.90000	0.93478
		0.91250	0.83929	0.89130
		0.93333	0.65000	0.87034
		0.97354	0.76000	0.94482
		0.89542	0.70833	0.86991
		0.97222	0.64000	0.93767
		0.95486	0.72727	0.94082
		0.95513	0.67273	0.91069
		0.90756	0.86667	0.89562
		0.96324	0.73333	0.92809
		0.97685	0.78571	0.95027
		0.94678	0.72222	0.90016
		1.00000	0.91667	0.98856
		0.99306	0.95000	0.97826
		0.94000	0.77778	0.90523
		0.98039	0.86364	0.96964
		0.95000	0.55556	0.86401
		0.89825	0.70833	0.87888
		0.96970	0.57143	0.93750
		0.98693	0.80208	0.94267
		0.94949	0.61364	0.90358
		0.97039	0.49351	0.87179
		0.97500	0.66667	0.94993
		0.91097	0.27778	0.87644
		0.97214	0.60417	0.91840
		0.94688	0.40000	0.85565
		0.94940	0.80000	0.92599
		0.92120	0.90909	0.90248
		0.93939	0.69841	0.90345
		0.96732	0.87879	0.93783
		0.89744	0.83333	0.89298
		0.96241	0.42857	0.90097
		0.92000	0.72222	0.89941
		0.96500	0.58929	0.88445
		0.91690	0.96875	0.92915
		0.93056	0.60606	0.89555
		0.95619	0.82222	0.93778
		0.95342	0.50000	0.88034
		0.89724	0.31481	0.78000
		0.90657	0.79487	0.87681
		0.89737	0.97500	0.89630
		0.93734	0.84127	0.91923
		0.95942	0.96296	0.96429
		0.94180	0.62500	0.91751
		0.93426	0.60000	0.86067
		0.98061	0.80000	0.96207
		0.93452	0.78571	0.90952
		0.92735	0.76190	0.88727
		0.98930	0.86458	0.94192
		0.91049	0.66667	0.88750
		0.93254	0.88095	0.92659
		0.95556	0.33333	0.90306
		0.92690	0.83333	0.92271
		0.96765	0.70000	0.92438
		0.90461	0.59375	0.82124
		0.96667	0.54286	0.90660
		0.98663	0.73810	0.95352
		0.95714	0.72727	0.91129
		0.91787	0.69697	0.86887
		0.96364	0.75000	0.93200
		0.88209	0.84444	0.86923
		0.92619	0.65000	0.90457
		0.96491	0.56000	0.90105
		0.94545	0.66667	0.90833
		0.97479	0.75000	0.94003
		0.90196	0.84615	0.89626
		0.93197	0.76429	0.89524
		0.96886	0.88571	0.95644
		0.94712	0.57692	0.87830
		0.96032	0.69444	0.93827
		0.93207	0.58333	0.88401
		0.95455	0.85417	0.92857
		0.95588	0.92727	0.94282
		0.93030	0.81481	0.87711
		0.92286	0.73333	0.88235
		0.87153	0.68750	0.85909
		0.97778	0.50000	0.92130
		0.97368	0.87273	0.95430
		0.88920	0.83333	0.87826
		0.90625	0.69841	0.87360
		0.87778	0.93750	0.89474
		0.95937	0.75556	0.93924
		0.90313	0.71667	0.86686
		0.90980	0.67532	0.87340
		0.88089	0.61224	0.82168
		0.91923	1.00000	0.92513
		0.97619	0.66667	0.90970
		0.97647	0.70833	0.94261
		0.92982	0.65625	0.90028
		0.93421	0.87500	0.91758
		0.96904	0.60714	0.88978
		0.94167	0.66667	0.90667
		0.98000	0.64286	0.92708
		0.92333	0.77500	0.90000
		0.96232	0.85714	0.94156
		0.95724	0.64000	0.89423
		0.91190	0.50000	0.87812
		0.94974	0.52778	0.89660
		0.95467	1.00000	0.94599
		0.95833	0.69388	0.90957
		0.92424	0.59091	0.85837
		0.87603	0.90476	0.89087
		0.97778	0.82051	0.94390
		0.90625	0.85417	0.88438
		0.93734	0.84000	0.92468
		0.94444	0.58442	0.87213
		0.87202	0.70370	0.85088
		0.90584	0.68750	0.88609
		0.94444	0.66667	0.88796
		0.98235	0.52778	0.88859
		0.92982	0.82500	0.91223
		0.99488	0.64286	0.95072
		0.95139	0.75000	0.92125
		0.96000	0.68750	0.91289
		0.95963	0.86667	0.93829
		0.96970	0.69388	0.92460
		0.95378	0.80000	0.90761
		0.93838	0.60000	0.89226
		0.96618	0.63265	0.91467
		0.94074	0.79167	0.92619
		0.98810	0.83333	0.96769
		0.88889	0.95833	0.90799
		0.97833	0.77551	0.94551
		0.97494	0.63636	0.94022
		0.96359	0.54000	0.89003
		0.92512	0.70370	0.91880
		0.97011	0.66667	0.93462
		0.94688	0.80000	0.91518
		0.97222	0.74000	0.93529
		0.88690	0.82000	0.87711
		0.94035	0.93750	0.94152
		0.96563	0.80000	0.93910
		0.93906	0.85185	0.93669
		0.92732	0.84091	0.92663
		0.94156	0.75000	0.91375
		0.86719	0.83333	0.86400
		0.96930	0.74603	0.92972
		0.94524	0.83333	0.92741
		0.90950	0.53704	0.84856
		0.96000	0.48571	0.89323
		0.98580	0.70833	0.93867
		0.94408	0.77273	0.90667
		0.98667	0.84375	0.95652
		0.93985	0.50000	0.88889
		0.98250	0.62500	0.94028
		0.92063	0.87500	0.91448
		0.93915	0.82716	0.90617
		0.91667	0.60000	0.87034
		0.94565	0.86667	0.92714
		0.96199	0.60000	0.90909
		0.92105	1.00000	0.92912
		0.96094	0.59524	0.90711
		0.95000	0.77273	0.91067
		0.94568	0.61111	0.90351
		0.94293	0.95833	0.95118
		0.92857	0.53333	0.86739
		0.99167	0.64583	0.91865
		0.94898	0.96667	0.95322
		0.91162	0.65000	0.88393
		0.92708	0.75556	0.89043
		0.94722	0.70370	0.89744
		0.97917	0.44444	0.92400
		0.96726	0.47222	0.90500
		0.92532	0.78889	0.90625
		0.90972	0.57778	0.86435
		0.94156	1.00000	0.95429
		0.90870	0.52273	0.83456
		0.95897	0.61905	0.86751
		0.92781	0.72222	0.90735
		0.99071	0.93182	0.97671
		0.86111	0.77500	0.84000
		0.88596	1.00000	0.89247
		0.91176	0.70370	0.87762
		0.97368	0.70000	0.91402
		0.93478	0.75000	0.88710
		0.91156	0.75556	0.85417
		0.90523	0.80952	0.89913
		1.00000	0.72222	0.95238
		0.90809	0.92857	0.89792
		0.98355	0.79167	0.95455
		0.95588	0.31818	0.82048
		0.99499	0.91667	0.98957
		0.92619	0.85714	0.91995
		0.98958	0.70000	0.94902
		0.96078	0.27778	0.88567
		0.97500	0.43750	0.87897
		0.91349	0.82143	0.90832
		0.95000	0.66667	0.92615
		0.98663	0.65278	0.92387
		0.96122	0.50000	0.87846
		0.94136	0.77778	0.90432
		0.99167	0.71429	0.93548
		0.92361	0.61364	0.89286
		0.96617	0.64444	0.90217
		0.96992	0.93750	0.95602
		0.91228	0.91667	0.91494
		0.92381	0.66667	0.89148
		0.94565	0.82857	0.93016
		0.96914	0.81429	0.93714
		0.98162	0.91667	0.96632
		0.94097	0.72619	0.90571
		0.96667	0.66667	0.90963
		0.94737	0.69048	0.88645
		0.92464	0.61818	0.89698
