group	accuracy	high_tfx	low_tfx	overall
		0.84615	0.56250	0.76364
		0.89744	0.50000	0.80392
		0.96552	0.58824	0.82609
		0.94286	0.75000	0.88235
		0.91892	0.60000	0.80702
		1.00000	0.71429	0.91837
		0.88571	0.61111	0.79245
		0.87179	0.58824	0.78571
		0.90323	0.68421	0.82000
		0.91429	0.66667	0.85106
		0.92857	0.77778	0.90196
		0.93333	0.64706	0.82979
		0.90000	0.71429	0.85185
		0.94595	0.75000	0.88679
		0.86047	0.83333	0.85455
		0.89744	0.62500	0.85106
		0.86111	0.46154	0.75510
		0.84615	0.47059	0.73214
		0.91892	0.55556	0.84783
		0.87805	0.57143	0.80000
		0.94737	0.76923	0.90196
		0.91892	0.41176	0.75926
		0.84211	0.80000	0.83333
		0.96552	0.81818	0.92500
		0.90244	0.50000	0.81132
		0.94737	0.66667	0.86792
		0.91429	0.42857	0.77551
		0.85714	0.71429	0.81633
		0.95122	0.72727	0.90385
		0.85294	0.83333	0.84783
		0.89744	0.27273	0.76000
		0.88095	0.84615	0.87273
		0.88571	0.61538	0.81250
		0.96875	0.57895	0.82353
		0.83333	0.62500	0.76923
		0.84848	0.30769	0.69565
		0.92308	0.60000	0.85714
		0.89189	0.40000	0.78723
		0.90625	0.68421	0.82353
		0.90909	0.61538	0.82609
		0.89189	0.80000	0.87234
		0.79487	0.76923	0.78846
		0.91892	0.77778	0.89130
		0.91429	0.70000	0.83636
		0.87879	0.55556	0.76471
		0.90323	0.52381	0.75000
		0.97436	0.75000	0.92157
		0.94444	0.68750	0.86538
		0.95000	0.64286	0.87037
		0.81818	0.76923	0.80435
		0.88889	0.52941	0.77358
		0.93333	0.75000	0.90566
		0.86207	0.53333	0.75000
		0.85294	0.56250	0.76000
		0.82857	0.64286	0.77551
		0.94444	0.72222	0.87037
		0.91429	0.75000	0.87234
		0.92105	0.66667	0.83929
		0.94118	0.53333	0.81633
		1.00000	0.61111	0.86275
		0.82051	0.78571	0.81132
		0.87097	0.58824	0.77083
		0.92105	0.69231	0.86275
		0.83333	0.63636	0.79245
		0.84211	0.66667	0.79245
		0.86111	0.73333	0.82353
		0.95455	0.38462	0.82456
		0.92105	0.30769	0.76471
		0.85714	0.58333	0.78723
		0.89189	0.72727	0.85417
		0.80000	0.43750	0.68627
		0.86111	0.75000	0.82143
		0.86111	0.75000	0.83333
		0.88571	0.76923	0.85417
		0.90323	0.69231	0.84091
		0.94595	0.83333	0.91837
		0.82857	0.75000	0.80392
		0.87500	0.42857	0.75926
		0.85106	0.81818	0.84483
		0.93103	0.53333	0.79545
		0.89744	0.57143	0.81132
		0.83871	0.75000	0.80851
		0.90909	0.56250	0.79592
		0.88235	0.81250	0.86000
		0.94737	0.42857	0.80769
		0.90909	0.46667	0.79661
		0.86111	0.69231	0.81633
		0.88636	0.66667	0.84906
		0.94118	0.64706	0.84314
		0.86842	0.53846	0.78431
		0.91111	0.63636	0.85714
		0.97143	0.45455	0.84783
		0.92500	0.43750	0.78571
		0.94595	0.77778	0.89091
		0.92500	0.64706	0.84211
		0.92105	0.77778	0.89362
		0.92500	0.83333	0.90385
		0.90244	0.46154	0.79630
		0.97368	0.70000	0.87931
		0.85714	0.64706	0.78846
		0.88372	0.61538	0.82143
		0.92308	0.44444	0.77193
		0.85294	0.81250	0.84000
		0.87179	0.62500	0.80000
		0.89474	0.76471	0.85455
		0.86111	0.50000	0.78261
		0.95000	0.70000	0.90000
		0.85000	0.83333	0.84615
		0.92105	0.84615	0.90196
		0.89189	0.57143	0.80392
		0.92105	0.73333	0.86792
		0.97500	0.54545	0.88235
		0.97368	0.46667	0.83019
		0.94737	0.64706	0.85455
		0.87879	0.64706	0.80000
		0.85366	0.80000	0.84314
		0.85366	0.71429	0.81818
		0.93750	0.81250	0.89583
		0.94872	0.43750	0.80000
		0.97436	0.76923	0.92308
		0.89655	0.85714	0.88372
		0.91892	0.73333	0.86538
		0.88889	0.46154	0.77551
		0.90625	0.56250	0.79167
		0.88571	0.66667	0.82000
		0.90000	0.73333	0.84444
		0.91429	0.66667	0.84000
		0.90000	0.50000	0.80769
		0.90000	0.76471	0.85106
		0.86111	0.64706	0.79245
		0.93182	0.80000	0.90741
		0.89189	0.53333	0.78846
		0.92308	0.40000	0.73171
		0.94118	0.90909	0.93333
		0.86486	0.84615	0.86000
		0.91429	0.35714	0.75510
		0.87179	0.56250	0.78182
		0.88889	0.55000	0.76786
		0.84848	0.70000	0.79245
		0.91489	0.87500	0.90909
		0.86111	0.50000	0.74074
		0.86207	0.69231	0.80952
		0.87805	0.66667	0.83019
		0.92105	0.57143	0.82692
		0.94286	0.35714	0.77551
		0.87234	0.69231	0.83333
		0.85714	0.64286	0.79592
		0.88235	0.76471	0.84314
		0.89189	0.83333	0.87273
		0.84848	0.46667	0.72917
		0.92500	0.62500	0.83929
		1.00000	0.38462	0.80488
		0.92500	0.50000	0.79310
		0.86111	0.62500	0.78846
		0.86842	0.70000	0.83333
		0.83784	0.42857	0.72549
		0.97143	0.64286	0.87755
		0.95455	0.61538	0.87719
		0.82857	0.68750	0.78431
		0.94286	0.64706	0.84615
		0.83871	0.66667	0.78261
		0.83333	0.81818	0.83019
		0.97222	0.68750	0.88462
		0.93548	0.64706	0.83333
		0.90909	0.38462	0.78947
		0.93548	0.73333	0.86957
		0.89583	0.30769	0.77049
		0.94118	0.72222	0.86538
		0.87500	0.70000	0.84000
		0.85714	0.57143	0.77551
		0.91892	0.66667	0.85714
		0.89744	0.66667	0.84314
		0.86486	0.60000	0.78846
		0.91667	0.75000	0.86538
		0.82051	0.66667	0.77193
		0.92308	0.72727	0.88000
		0.90909	0.57143	0.80851
		0.92500	0.40000	0.82000
		0.84848	0.58333	0.77778
		0.82353	0.75000	0.80435
		0.81081	0.81250	0.81132
		0.91667	0.90909	0.91489
		0.95000	0.91667	0.94231
		0.82353	0.76923	0.80851
		0.84615	0.54545	0.78000
		0.92105	0.66667	0.84906
		0.87097	0.70588	0.81250
		0.94286	0.81818	0.91304
		0.88571	0.85714	0.87755
		0.81579	0.27778	0.64286
		0.91429	0.70000	0.86667
		0.83333	0.50000	0.73077
		0.92500	0.57143	0.83333
		0.94444	0.58333	0.85417
		0.90000	0.82353	0.87719
		0.82051	0.63636	0.78000
		0.95000	0.53333	0.83636
		0.90244	0.66667	0.83929
		0.91429	0.71429	0.85714
		0.93939	0.77778	0.90476
		0.88571	0.43750	0.74510
		0.89474	0.66667	0.84000
		0.89655	0.38889	0.70213
		0.94595	0.73333	0.88462
		0.81579	0.76923	0.80392
		0.92500	0.53846	0.83019
		0.97500	0.78571	0.92593
		0.77500	0.62500	0.73214
		0.87500	0.41667	0.76923
		0.94286	0.88235	0.92308
		0.88889	0.62500	0.80769
		0.93939	0.56250	0.81633
		0.84091	0.57143	0.77586
		0.83871	0.57143	0.75556
		0.89474	0.66667	0.84000
		0.93939	0.58824	0.82000
		0.88636	0.83333	0.87500
		0.87179	0.36364	0.76000
		0.94444	0.84615	0.91837
		0.88235	0.63636	0.82222
		0.92105	0.57143	0.82692
		0.96875	0.58824	0.83673
		0.94595	0.66667	0.86538
		0.97059	0.50000	0.82000
		0.91892	0.46154	0.80000
		0.89744	0.58824	0.80357
		0.87879	0.80000	0.85417
		0.87879	0.70000	0.81132
		0.85000	0.53333	0.76364
		0.90909	0.66667	0.84444
		0.91304	0.92857	0.91667
		0.93750	0.71429	0.86957
		0.97059	0.30769	0.78723
		0.92500	0.71429	0.87037
		0.87500	0.66667	0.82692
		0.86842	0.61538	0.80392
		0.89744	0.84615	0.88462
		0.89189	0.69231	0.84000
		0.94444	0.61538	0.85714
		0.88571	0.52632	0.75926
		0.86842	0.61538	0.80392
		0.86486	0.62500	0.79245
		0.85000	0.78571	0.83333
		0.91892	0.66667	0.84615
		0.90000	0.46154	0.79245
		0.93333	0.61111	0.81250
		0.87179	0.66667	0.81481
		0.87179	0.72727	0.84000
		0.86111	0.75000	0.83333
		0.83784	0.64286	0.78431
		0.84848	0.55556	0.74510
		0.87805	0.92308	0.88889
		0.89189	0.64286	0.82353
		0.95000	0.66667	0.87273
		0.82759	0.57143	0.74419
		0.87500	0.58824	0.77551
		0.91429	0.70000	0.83636
		0.94872	0.64286	0.86792
		0.91176	0.73333	0.85714
		0.96875	0.73333	0.89362
		0.86667	0.69231	0.81395
		0.88235	0.66667	0.83721
		0.86111	0.64706	0.79245
		0.84211	0.50000	0.76000
		0.90244	0.80000	0.87500
		0.90000	0.37500	0.81250
		0.90476	0.62500	0.86000
		0.87179	0.69231	0.82692
		0.90625	0.69231	0.84444
		0.88889	0.57143	0.80000
		0.92857	0.84615	0.90909
		0.94737	0.81818	0.91837
		0.87805	0.88889	0.88000
		0.83784	0.66667	0.78846
		0.84848	0.65000	0.77358
		0.89189	0.63636	0.83333
		0.88571	0.80000	0.86000
		0.96552	0.76471	0.89130
		0.88889	0.57143	0.77193
		0.92857	0.66667	0.83721
		0.86842	0.64286	0.80769
		0.85294	0.84615	0.85106
		0.94286	0.53333	0.82000
		0.88235	0.66667	0.82609
		1.00000	0.46667	0.82609
		0.97436	0.66667	0.90196
		0.87500	0.53846	0.79245
		0.90244	0.56250	0.80702
		0.89474	0.66667	0.84000
		0.94595	0.92308	0.94000
		0.83333	0.76923	0.81633
		0.97059	0.50000	0.83333
		0.86486	0.61111	0.78182
		0.94872	0.80000	0.91837
		0.89189	0.83333	0.87755
		0.90909	0.66667	0.85714
		0.82051	0.50000	0.74510
		0.94595	0.73333	0.88462
		0.91176	0.38462	0.76596
		0.89189	0.57143	0.80392
		0.83784	0.78571	0.82353
		0.86486	0.62500	0.79245
		0.84375	0.72222	0.80000
		0.90476	0.83333	0.88889
		0.93939	0.54545	0.84091
		0.92308	0.82353	0.89286
		0.83784	0.68750	0.79245
		0.87097	0.52941	0.75000
		0.90476	0.63636	0.84906
		0.89474	0.52941	0.78182
		0.79412	0.64286	0.75000
		0.94118	0.61538	0.85106
		0.92500	0.50000	0.84000
		0.87179	0.69231	0.82692
		0.90000	0.50000	0.79630
		0.87179	0.76471	0.83929
		0.84211	0.66667	0.78571
		0.92500	0.61538	0.84906
		0.91892	0.63636	0.85417
		0.95349	0.70000	0.90566
		0.93548	0.71429	0.86667
		0.90244	0.53846	0.81481
		0.89189	0.69231	0.84000
		0.97561	0.57143	0.87273
		0.88235	0.33333	0.71429
		0.92500	0.61538	0.84906
		0.88571	0.68421	0.81481
		0.92308	0.57143	0.83019
		0.88636	0.66667	0.83929
		0.83784	0.69231	0.80000
		0.88889	0.57143	0.80000
		0.95455	0.66667	0.90566
		0.89474	0.41667	0.78000
		0.89655	0.38462	0.73810
		0.92308	0.63636	0.86000
		0.89744	0.76923	0.86538
		0.89189	0.50000	0.79592
		0.91176	0.68421	0.83019
		0.91892	0.71429	0.86275
		0.97368	0.77778	0.93617
		0.96970	0.42857	0.80851
		0.92683	0.54545	0.84615
		0.89583	0.75000	0.87500
		0.95000	0.73333	0.89091
		0.80556	0.40000	0.71739
		0.90000	0.80000	0.88000
		0.85000	0.58333	0.78846
		0.94595	0.64706	0.85185
		0.85294	0.63636	0.80000
		0.93548	0.47059	0.77083
		0.88095	0.68750	0.82759
		0.92308	0.65217	0.82258
		0.87097	0.68750	0.80851
		0.91892	0.90909	0.91667
		0.85714	0.60000	0.81356
		0.84615	0.76923	0.82692
		0.84615	0.58824	0.76786
		0.86486	0.66667	0.81633
		0.91429	0.73333	0.86000
		0.90000	0.64706	0.82456
		0.93939	0.52632	0.78846
		0.91429	0.50000	0.78431
		0.92105	0.50000	0.82000
		0.89474	0.64706	0.81818
		0.84615	0.71429	0.81132
		0.83721	0.71429	0.80702
		1.00000	0.61538	0.89130
		0.89474	0.80000	0.87500
		0.97143	0.50000	0.81132
		0.95122	0.84615	0.92593
		0.92105	0.60000	0.83019
		0.86111	0.84615	0.85714
		0.87500	0.61538	0.81132
		0.86364	0.50000	0.80769
		0.91667	0.68750	0.84615
		0.85000	0.76923	0.83019
		0.89655	0.62500	0.80000
		0.78947	0.45000	0.67241
		0.90244	0.90000	0.90196
		0.93333	0.77778	0.90741
		0.89744	0.84615	0.88462
		0.86111	0.45455	0.76596
		0.94286	0.36364	0.80435
		0.87097	0.75000	0.83721
		0.90625	0.43750	0.75000
		0.94444	0.75000	0.89583
		0.92683	0.75000	0.89796
		0.89744	0.77778	0.87500
		0.87500	0.50000	0.81250
		0.91176	0.75000	0.86000
		0.92683	0.76923	0.88889
		0.92308	0.64286	0.84906
		0.86111	0.64706	0.79245
		0.92308	0.54545	0.84000
		0.91429	0.84615	0.89583
		0.87879	0.37500	0.66667
		0.94872	0.91667	0.94118
		0.85714	0.80000	0.84211
		0.87805	0.57143	0.80000
		0.89744	0.68750	0.83636
		0.94444	0.70588	0.86792
		0.86842	0.72727	0.83673
		0.87500	0.64706	0.79592
		0.93939	0.76471	0.88000
		0.86842	0.64286	0.80769
		0.88889	0.63636	0.82979
		0.90244	0.64286	0.83636
		0.90244	0.69231	0.85185
		0.82857	0.80000	0.82222
		0.89744	0.60000	0.83673
		0.88889	0.90000	0.89130
		0.88372	0.64286	0.82456
		0.87179	0.77778	0.85417
		0.89744	0.61538	0.82692
		0.82500	0.60000	0.76364
		0.92308	0.92857	0.92453
		0.79487	0.76923	0.78846
		0.97143	0.62500	0.86275
		0.87879	0.50000	0.74510
		0.90909	0.69231	0.84783
		0.85714	0.55556	0.79545
		0.95122	0.61538	0.87037
		0.89189	0.75000	0.86667
		0.92308	0.85714	0.90566
		0.92105	0.70000	0.87500
		0.86486	0.72727	0.83333
		0.87805	0.58333	0.81132
		0.86486	0.52941	0.75926
		0.90000	0.60000	0.82500
		0.97368	0.62500	0.87037
		0.89189	0.84615	0.88000
		0.93182	0.70000	0.88889
		0.85000	0.50000	0.76923
		0.95000	0.72727	0.90196
		0.90698	0.90909	0.90741
		0.92500	0.70000	0.88000
		0.89189	0.27273	0.75000
		0.85714	0.61111	0.77358
		0.85366	0.73333	0.82143
		0.86667	0.91667	0.88095
		0.86842	0.70588	0.81818
		0.87805	0.53846	0.79630
		0.86111	0.73333	0.82353
		0.92857	0.50000	0.83333
		0.88571	0.73333	0.84000
		0.91176	0.70000	0.86364
		0.89744	0.68421	0.82759
		0.94872	0.75000	0.89091
		0.87500	0.66667	0.80851
		0.96667	0.73333	0.88889
		0.91892	0.66667	0.85714
		0.89189	0.73333	0.84615
		0.84615	0.76471	0.82143
		0.90244	0.63636	0.84615
		0.88571	0.70588	0.82692
		0.93617	0.70000	0.89474
		0.88571	0.46667	0.76000
		0.93750	0.63636	0.81481
		0.84375	0.42857	0.71739
		0.84091	0.63636	0.80000
		0.86842	0.75000	0.84000
		0.86842	0.58824	0.78182
		0.80556	0.80000	0.80392
		0.89189	0.66667	0.83673
		0.86486	0.55556	0.80435
		0.83333	0.69231	0.80000
		0.94286	0.75000	0.88235
		0.87179	0.50000	0.78431
		0.85294	0.38462	0.72340
		0.94595	0.66667	0.87755
		0.92683	0.75000	0.87719
		0.90698	0.77778	0.88462
		0.87879	0.70588	0.82000
		0.88571	0.72727	0.84783
		0.92500	0.78947	0.88136
		0.78788	0.50000	0.72093
		0.90476	0.36364	0.79245
		0.89744	0.56250	0.80000
		0.92683	0.75000	0.87719
		0.95000	0.63636	0.88235
		0.88372	0.50000	0.81132
		0.85714	0.76923	0.83333
		0.82051	0.63636	0.78000
		0.92500	0.71429	0.87037
		0.86111	0.46154	0.75510
		0.85714	0.64706	0.78846
		0.96552	0.57143	0.83721
		0.93548	0.64286	0.84444
		0.83333	0.80000	0.82353
		0.91429	0.66667	0.85106
		0.91429	0.52941	0.78846
		0.90000	0.85714	0.88889
		0.89474	0.66667	0.84000
		0.89189	0.28571	0.72549
		0.86486	0.75000	0.83019
		0.86111	0.71429	0.82000
		0.91176	0.66667	0.83673
		0.92308	0.84615	0.90385
		0.87500	0.75000	0.84615
		0.95349	0.71429	0.89474
		0.89474	0.58824	0.80000
		0.87179	0.50000	0.78431
		0.84848	0.66667	0.79167
		0.80556	0.75000	0.79167
		0.85000	0.75000	0.82692
		0.94595	0.75000	0.88679
		1.00000	0.68750	0.89362
		0.81818	0.66667	0.78571
		0.95238	0.75000	0.89655
		0.89286	0.57143	0.78571
		0.86842	0.83333	0.86000
		0.87097	0.46667	0.73913
		0.87179	0.71429	0.83019
		0.86486	0.55556	0.76364
		0.86842	0.70588	0.81818
		0.87805	0.57143	0.83333
		0.86667	0.66667	0.80952
		0.97297	0.64706	0.87037
		0.89474	0.64286	0.82692
		0.91429	0.68750	0.84314
		0.84211	0.61538	0.78431
		0.92500	0.88889	0.91837
		0.88571	0.64286	0.81633
		0.94595	0.64706	0.85185
		0.92308	0.40000	0.81633
		0.90244	0.63636	0.84615
		0.87805	0.60000	0.82353
		0.90909	0.83333	0.88235
		0.93548	0.64286	0.84444
		0.88095	0.71429	0.83929
		0.84848	0.73333	0.81250
		0.88889	0.56250	0.78846
		0.94872	0.66667	0.87037
		0.85294	0.77778	0.82692
		0.84375	0.65000	0.76923
		0.95122	0.66667	0.87500
		0.85000	0.38462	0.73585
		0.90625	0.50000	0.78261
		0.83871	0.57895	0.74000
		0.90476	0.76923	0.87273
		0.89189	0.66667	0.81818
		0.88095	0.81818	0.86792
		0.88095	0.75000	0.85185
		0.88571	0.68750	0.82353
		0.87805	0.70000	0.84314
		0.91667	0.53333	0.80392
		0.90323	0.69231	0.84091
		0.85714	0.61111	0.77358
		0.94444	0.60000	0.84314
		0.82353	0.66667	0.77551
		0.97143	0.37500	0.78431
		0.88095	0.75000	0.85185
		0.97297	0.72727	0.91667
		0.85000	0.45455	0.76471
		0.91176	0.70588	0.84314
		0.91176	0.64286	0.83333
		0.94444	0.78571	0.90000
		0.84375	0.63636	0.79070
		0.92105	0.53846	0.82353
		0.93333	0.70588	0.85106
		0.80000	0.71429	0.78571
		0.90323	0.71429	0.84444
		0.83333	0.66667	0.78431
		0.87805	0.76923	0.85185
		0.89744	0.80000	0.87755
		0.85714	0.68750	0.80392
		0.91111	0.50000	0.83636
		0.86111	0.69231	0.81633
		0.86364	0.68750	0.81667
		0.86842	0.90909	0.87755
		0.90909	0.68750	0.83673
		0.92857	0.76923	0.89091
		0.84211	0.66667	0.80000
		0.97368	0.64286	0.88462
		0.91176	0.76923	0.87234
		0.89744	0.76923	0.86538
		0.93750	0.84615	0.91111
		0.84615	0.60000	0.77778
		0.91176	0.58824	0.80392
		0.94118	0.54545	0.84444
		0.97143	0.70000	0.87273
		0.90000	0.66667	0.83636
		0.88571	0.44444	0.73585
		0.90909	0.58333	0.83929
		0.88636	0.55556	0.83019
		0.94444	0.50000	0.82000
		0.83333	0.50000	0.75000
		0.86842	0.53846	0.78431
		0.87179	0.78571	0.84906
		0.93023	0.62500	0.84746
		0.94286	0.80000	0.89091
		0.83784	0.66667	0.79592
		0.87500	0.50000	0.80000
		0.90000	0.66667	0.84615
		0.90000	0.46667	0.75556
		0.84211	0.83333	0.84000
		0.86842	0.64286	0.80769
		0.89130	0.85714	0.88333
		0.89189	0.50000	0.77358
		0.85000	0.33333	0.70909
		0.82353	0.57895	0.73585
		0.84615	0.69231	0.80769
		0.87500	0.81250	0.85714
		0.97368	0.86667	0.94340
		0.89744	0.60000	0.83673
		0.88235	0.50000	0.77083
		0.94737	0.72727	0.89796
		0.89474	0.76923	0.86275
		0.90323	0.68750	0.82979
		0.89286	0.70000	0.81250
		0.85000	0.37500	0.77083
		0.90909	0.76923	0.86957
		0.92105	0.54545	0.83673
		0.91892	0.92308	0.92000
		0.91892	0.64286	0.84314
		0.80000	0.55000	0.70909
		0.89474	0.58333	0.82000
		0.92308	0.69231	0.86538
		0.94118	0.70588	0.86275
		0.87805	0.58824	0.79310
		0.88095	0.61538	0.81818
		0.80952	0.85714	0.82143
		0.92683	0.78571	0.89091
		0.91892	0.60000	0.82692
		0.91892	0.58333	0.83673
		0.94737	0.64286	0.86538
		0.87500	0.76471	0.83673
		0.88571	0.54167	0.74576
		0.88235	0.83333	0.86957
		0.89655	0.47059	0.73913
		0.95556	0.50000	0.85965
		0.89744	0.66667	0.84314
		0.86486	0.85714	0.86275
		0.89189	0.93750	0.90566
		0.78378	0.60000	0.73077
		0.87179	0.64286	0.81132
		0.82353	0.50000	0.76190
		0.94872	0.46667	0.81481
		0.89744	0.81250	0.87273
		0.86842	0.50000	0.79167
		0.88235	0.50000	0.76000
		0.84848	0.68750	0.79592
		0.94444	0.57143	0.84000
		0.83333	0.62500	0.76923
		0.84375	0.61111	0.76000
		0.84211	0.57143	0.74576
		0.89130	0.80000	0.87500
		0.90625	0.52941	0.77551
		0.94595	0.54545	0.85417
		0.94595	0.68750	0.86792
		0.89744	0.93333	0.90741
		0.88889	0.57895	0.78182
		0.84375	0.72222	0.80000
		0.95349	0.61538	0.87500
		0.85714	0.76923	0.83333
		0.92105	0.75000	0.88000
		0.91429	0.80000	0.88000
		0.88372	0.50000	0.78947
		0.89744	0.50000	0.80392
		0.90000	0.90909	0.90196
		0.91176	0.64286	0.83333
		0.82500	0.70588	0.78947
		0.90909	0.84615	0.89130
		0.86842	0.62500	0.79630
		0.77778	0.75000	0.76923
		0.90000	0.80000	0.88000
		0.88571	0.50000	0.75472
		0.86486	0.75000	0.83673
		0.88889	0.68750	0.82692
		0.88571	0.64286	0.81633
		0.94595	0.44444	0.78182
		0.89189	0.71429	0.84314
		0.95000	0.69231	0.88679
		0.94118	0.69231	0.87234
		0.91667	0.66667	0.85417
		0.94595	0.81818	0.91667
		0.93750	0.50000	0.80435
		0.87097	0.75000	0.82979
		0.84211	0.63636	0.79592
		0.92683	0.50000	0.81818
		0.90476	0.76471	0.86441
		0.95122	0.70000	0.90196
		0.88235	0.78571	0.85417
		0.94444	0.71429	0.88000
		0.90000	0.86667	0.89091
		0.92105	0.46667	0.79245
		0.87805	0.50000	0.79245
		0.89744	0.42857	0.82609
		0.88889	0.88235	0.88679
		0.92308	0.66667	0.85185
		0.78378	0.73333	0.76923
		0.94118	0.83333	0.91304
		0.94444	0.85714	0.92000
		0.92105	0.75000	0.88000
		0.85000	0.86667	0.85455
		0.81395	0.85714	0.82456
		0.75000	0.76923	0.75556
		0.86047	0.68750	0.81356
		0.90244	0.72727	0.86538
		0.88372	0.46667	0.77586
		0.84091	0.50000	0.76786
		0.92105	0.76471	0.87273
		0.91429	0.80000	0.88000
		0.93333	0.58333	0.83333
		0.87879	0.64286	0.80851
		0.90244	0.53846	0.81481
		0.85714	0.75000	0.83333
		0.87179	0.77778	0.84211
		0.89474	0.62500	0.81481
		0.87179	0.78571	0.84906
		0.89189	0.57143	0.80392
		0.91429	0.66667	0.85106
		0.93750	0.76923	0.88889
		0.88235	0.76190	0.83636
		0.88095	0.69231	0.83636
		0.89744	0.90000	0.89796
		0.93103	0.42857	0.76744
		0.96774	0.64286	0.86667
		0.91429	0.90909	0.91304
		0.90000	0.68750	0.83929
		0.88235	0.71429	0.83333
		0.86842	0.73333	0.83019
		0.85294	0.81818	0.84444
		0.89189	0.61538	0.82000
		0.91667	0.68421	0.83636
		0.85294	0.57143	0.77083
		0.93023	0.90000	0.92453
		0.86047	0.60000	0.79310
		0.89286	0.50000	0.72917
		0.87179	0.73333	0.83333
		0.94444	0.80000	0.90196
		0.81481	0.69231	0.77500
		0.83784	0.80000	0.82692
		0.91429	0.80000	0.88000
		0.89189	0.66667	0.81818
		0.82927	0.58333	0.77358
		0.77143	0.68421	0.74074
		0.91429	0.61538	0.83333
		0.95122	0.66667	0.87500
		0.81818	0.72727	0.79545
		0.91429	0.80000	0.88889
		0.91892	0.41176	0.75926
		0.97500	0.87500	0.95833
		0.87805	0.76471	0.84483
		0.91667	0.84615	0.89796
		0.92105	0.33333	0.78000
		0.93548	0.50000	0.80000
		0.91176	0.68750	0.84000
		0.87805	0.80000	0.86275
		0.92308	0.58824	0.82143
		0.86842	0.53846	0.78431
		0.88889	0.66667	0.82353
		0.94737	0.65000	0.84483
		0.88095	0.60000	0.80702
		0.87879	0.64286	0.80851
		0.87879	0.80000	0.86047
		0.86047	0.87500	0.86441
		0.87805	0.61538	0.81481
		0.82051	0.83333	0.82353
		0.86111	0.70588	0.81132
		0.84848	0.72727	0.81818
		0.94118	0.68421	0.84906
		0.94737	0.71429	0.88462
		0.85294	0.61538	0.78723
		0.94737	0.50000	0.81481
