	central_cov_MAD_uncorrected	central_cov_MAD_GC_corrected	mean_cov_MAD_uncorrected	mean_cov_MAD_GC_corrected	amplitude_MAD_uncorrected	amplitude_MAD_GC_corrected
ESR2.hg38	0.03762160757166036	0.012643707409410506	0.0076337747349099205	0.0026197083632430174	0.14544040626963908	0.1341388854838868
ESRRA.hg38	0.021123151541373713	0.0128114764737696	0.004643292157923173	0.0027558917416457673	0.10736974794883344	0.111312172214784
ETS1.hg38	0.03511767906976744	0.015197217090319088	0.01401113867610668	0.005393345349656635	0.18836850459448432	0.1941369192984683
ETV1.hg38	0.022423160086533264	0.013152119632233637	0.011847790812396541	0.004685524578396202	0.16289329052370377	0.17729269147286394
ETV2.hg38	0.035164969605192	0.011716820659816121	0.0075358288083649016	0.0022551388432731803	0.11972961382870054	0.11876626565461114
ETV4.hg38	0.026818327420227148	0.010942920605732832	0.009649143373158286	0.003965965029418042	0.12744063991796303	0.1365619795671998
ETV5.hg38	0.030227576636019462	0.01349210697674419	0.014395417903207301	0.00510279644689183	0.13507203438020607	0.15541753403753383
ETV6.hg38	0.023110843915630064	0.014262283937263386	0.005055489135814624	0.003647088467148514	0.2183113392199426	0.21719214251484562
FEZF1.hg38	0.019376388967009207	0.012066573174689012	0.003525014871265374	0.003113231623973663	0.11190455554681	0.11149276241223875
FLI1.hg38	0.025158758464034606	0.013470439697133595	0.008438126889227595	0.004150495216087318	0.252834413451198	0.25147149693871307
FOS.hg38	0.020935606489994606	0.014485483071930769	0.003618395742170205	0.002600044780962653	0.255842571338951	0.2636056346023535
FOSB.hg38	0.03095927268793943	0.015217705354245548	0.004400355982758911	0.0024420666470000045	0.24192149106303804	0.2405058053771917
FOSL1.hg38	0.02225027809626825	0.013306519956733369	0.003156912866905918	0.0024592851992067503	0.2224786356312648	0.22356291651852386
FOSL2.hg38	0.02039245830178476	0.01430379015684153	0.003413229195142336	0.002665796617336153	0.21598298245432643	0.2143795375212085
FOXA1.hg38	0.015581650513791238	0.014307020876149282	0.002556352364095247	0.0025231039579133607	0.12637409682812778	0.13769565500932526
FOXA2.hg38	0.020055617414818833	0.015072307409410495	0.0036202250487568865	0.0029231241129521247	0.14496433649264742	0.14656536533004622
FOXA3.hg38	0.021231370146024862	0.014797332612222824	0.0035253190586230225	0.002804539043217432	0.14348314252209984	0.13847413885632084
FOXH1.hg38	0.03614261654948621	0.01161572201189832	0.005084289175147923	0.0023279834046249486	0.12072537530429808	0.12036433985160915
FOXK1.hg38	0.054144500162249865	0.04174569713358574	0.01147423487880423	0.008797443253519516	0.10033546190923176	0.10318583072937262
FOXK2.hg38	0.030339397728501877	0.02235710167658193	0.008253278555156769	0.0044160668993887	0.1144219479068095	0.12080836080655809
FOXM1.hg38	0.0184780654407788	0.014089394159004863	0.006489985243456747	0.004104836684858323	0.1830996266492326	0.18472636550995486
FOXO1.hg38	0.026079629529475387	0.011903886965927526	0.006635042774964369	0.0029302476359047043	0.13629032702026303	0.14062675367033736
FOXO3.hg38	0.03021382044348297	0.015091465440778795	0.010543543674713617	0.004573400095055468	0.16818900195261383	0.17388500430347667
FOXP1.hg38	0.02224792817739318	0.01396762466197945	0.009244197256502293	0.004553383912680071	0.18257091307854006	0.19258815225288137
GABPA.hg38	0.030946825959978365	0.0150053963223364	0.0172991466706	0.006384305727911928	0.26553221989959946	0.2710876140960323
GATA1.hg38	0.024774047809626828	0.018578188534342895	0.0041857685399151485	0.0036237832407362007	0.3129564370625852	0.3175411341753763
GATA2.hg38	0.016902948188209848	0.013599067928610062	0.002675608800825965	0.002555388295065334	0.10408705355305913	0.11096534551335349
GATA3.hg38	0.018698898107084905	0.013044635478637118	0.002747858763951012	0.0024430263434780716	0.11830120203064776	0.11659362682208696
GATA4.hg38	0.02488122606814494	0.014607533802055164	0.0033746379533572844	0.0026013069898552735	0.12154824156748577	0.12936478061136825
GATA6.hg38	0.023381362249864777	0.013224477230935634	0.0036045300522805196	0.002326803153219605	0.10913301359340939	0.11515184053650612
GFI1.hg38	0.04353935770686858	0.01042120995132504	0.007088321081010206	0.0030259378730517644	0.1160572164425191	0.12406352434558589
GLIS1.hg38	0.03669579048134126	0.013061301460248783	0.008883676719602718	0.0032629939393939615	0.12356203497487035	0.1270610704326233
GLIS3.hg38	0.04791167387777178	0.013995595457003778	0.011278564275529791	0.0025661873674549737	0.13768997976611386	0.1496649761861499
GRHL2.hg38	0.02244135478637101	0.011569656462952944	0.004840759722700192	0.002570444059852197	0.1341045726670636	0.1368235593896884
HAND2.hg38	0.02692721817198485	0.013607575554353706	0.0037840241145910168	0.0026251014799154636	0.09045009218129817	0.08829847410384269
HES1.hg38	0.02455068642509464	0.02258937609518664	0.005712913728960781	0.00314249540619826	0.1056577508179108	0.11162930135045515
HES2.hg38	0.017588777934018387	0.01510203526230395	0.0030994579051739626	0.002967117052624682	0.16504585357908608	0.17219609416191328
HEY1.hg38	0.039893261763115195	0.019170596971335857	0.024166865873445114	0.00874524708523852	0.24945039862999704	0.23001540881144086
HIC1.hg38	0.03577928415359653	0.012360795673336929	0.009757726876116491	0.0034424280741432475	0.13418596787339232	0.13717882368724482
HIF1A.hg38	0.029972052568956187	0.016273196646836127	0.00997202709408856	0.0037157562810364365	0.14085072827266196	0.14918443193897418
HIF3A.hg38	0.037084588209843165	0.012501855489453755	0.008763281560876454	0.002866046537850092	0.13371839773083494	0.14139174224650622
HLF.hg38	0.019413352731206052	0.014234977825851817	0.0030859751315207057	0.0026181157218480152	0.16590034391407274	0.17036821591665202
HMBOX1.hg38	0.029269169821525144	0.015234192536506222	0.0033574659390006294	0.002917650471180144	0.15621596526257686	0.16127640625917114
HMG20A.hg38	0.023286227690643594	0.014632955543537041	0.0031894047560515875	0.0025344921710343062	0.13575780529026363	0.14088291502646835
HMGA1.hg38	0.026220376960519206	0.02772589972958355	0.006190556074536583	0.003835275687103613	0.1330032662202353	0.15159190661169827
HNF1A.hg38	0.014665943861546791	0.011595500919415903	0.003105532448334086	0.002867120107510974	0.10290641238206706	0.1157856133551491
HNF1B.hg38	0.013258182909680921	0.010188040670632783	0.0028484025468312026	0.0026760149302653166	0.12462593084461322	0.12555597106476638
HNF4A.hg38	0.02954680097349919	0.013700706868577606	0.006072723077175205	0.0032924740482160693	0.1347386185869541	0.13926973817076274
HNF4G.hg38	0.01971291043807464	0.01420643266630612	0.002843149892652868	0.0027423694085254276	0.10161600803063556	0.11387406640431823
HOMEZ.hg38	0.032330375013520825	0.016096232017306644	0.005266656184342038	0.0030906071258829672	0.14370719040240304	0.14747595587777368
HOXA9.hg38	0.024386862628447827	0.014185702001081667	0.008386307596243647	0.002810542488159021	0.13274705199545456	0.14755802754226252
HOXB13.hg38	0.025841135208220668	0.010567931422390492	0.00503128172804301	0.002190767884360091	0.1203003200040611	0.12678686511291284
HOXC5.hg38	0.02894783666846945	0.01458766901027583	0.0033628304406968204	0.0025393787469065667	0.17524910538847058	0.17935944221751393
HOXC9.hg38	0.015532578799351002	0.012801939102217422	0.0035291513020961262	0.0030960753789927233	0.13284924404379553	0.1399958068368539
HSF1.hg38	0.026349195889670093	0.01158575630070308	0.00855591455823783	0.003333529098447973	0.11680706549208303	0.11650173066679452
IKZF1.hg38	0.029028193401838837	0.011941497890751749	0.009364067987609971	0.003862904502024026	0.13387522464519283	0.13615196103126895
IKZF2.hg38	0.02361054743104381	0.013653637858301792	0.004343525047117987	0.002742479725322487	0.1305501452914629	0.13832427099418118
IKZF5.hg38	0.03488313034072471	0.016954895078420764	0.010171786977399734	0.00451617022469149	0.16615214443435425	0.17478419324098174
IRF1.hg38	0.01955190686857762	0.01858804186046511	0.007185813789599644	0.005344415317042798	0.2986317189447583	0.29940137064928835
IRF2.hg38	0.026645071930773388	0.016585916062736624	0.0097507844076241	0.004841368703803854	0.20415545561985557	0.2081111135154394
IRF4.hg38	0.022457768848025958	0.013631163764196864	0.004525972443745197	0.0030433644099185126	0.21037118708894065	0.20579816107580554
ISL1.hg38	0.014513626825310976	0.012108571119524078	0.0037989760132421868	0.0029716636543914376	0.11821144054228797	0.12326438094655044
JUN.hg38	0.026674013953488375	0.014261175446187126	0.00808158002851665	0.0037884332235278697	0.16820091265442988	0.1750340308232919
JUNB.hg38	0.01887683839913466	0.014686700378583021	0.002955537479718781	0.0026930231443696028	0.16484086182954447	0.1705559696506401
JUND.hg38	0.023048955651703625	0.014106490210924826	0.00417798363406919	0.002929629155809003	0.20298174770892022	0.21123780883693383
KDM2B.hg38	0.07471784845862628	0.017925312817739306	0.03259058558106756	0.00787516478358491	0.16430263050423535	0.18022296122413684
KLF1.hg38	0.03960431357490536	0.013766927528393733	0.015948449579625344	0.003974822613370004	0.14101844709572828	0.14488199983713962
KLF10.hg38	0.029176903299080584	0.015277632882639268	0.015851442722519954	0.005630287965648928	0.15043233015895827	0.15337409543923677
KLF11.hg38	0.03251359329367227	0.015411713142239054	0.015098592048117697	0.005358721798842934	0.12700952770968035	0.1308298139789304
KLF15.hg38	0.0438478414277988	0.019288289778258517	0.021739934133110445	0.005563894783420991	0.15185106711306195	0.1787010303792648
KLF16.hg38	0.025570576527852894	0.01970406208761493	0.009263350771096567	0.005340179622072518	0.29613165817519965	0.2970198370243285
KLF4.hg38	0.03849573618171986	0.011456706327744726	0.011881147549043732	0.0034395705426356676	0.12082274991704639	0.11219195378259
KLF5.hg38	0.03136532936722553	0.014282561384532178	0.016314395447170463	0.005461114653293344	0.14724896087523437	0.1354567704438358
KLF6.hg38	0.024717253650621954	0.012643685776095195	0.013316729042725819	0.005244339544717061	0.14437763418996832	0.1463797579855593
KLF9.hg38	0.03633656917252569	0.01664814981070849	0.02089463897930086	0.006728463238113946	0.15149884523906493	0.17714788984979152
KMT2A.hg38	0.06244196884802597	0.020343064359113015	0.03049191037251913	0.008664253437566577	0.12359016291631324	0.1463244642211388
LEF1.hg38	0.024442838939967546	0.014828070524607894	0.011954347978432223	0.004285082068931592	0.12232928146294408	0.1341383046952957
LYL1.hg38	0.026698498215251488	0.013773240886965929	0.006578810774046594	0.003962763610141448	0.20344867727118407	0.19719573044808597
MAF.hg38	0.029270154029204975	0.021322034180638185	0.007337458796728807	0.0038514821770981814	0.13035708131891036	0.1343347287315948
MAFF.hg38	0.017253169497025433	0.01737785743645213	0.0025405411934379023	0.002119021534982031	0.2784934418455922	0.28810125037796674
MAFG.hg38	0.01693126122228231	0.017095698107084896	0.002454677204713461	0.0024246115443237216	0.29633670344758123	0.3083854205698955
MAFK.hg38	0.015750584964845875	0.017122884478096265	0.00232688665126109	0.002410661841781832	0.28550810230756857	0.29737435679909907
MAX.hg38	0.036469553272038935	0.020022638831800974	0.021379939079273	0.007898178930461975	0.15919792688552084	0.17322155833372815
MAZ.hg38	0.04724876949702541	0.018998432666306103	0.02079469000442502	0.006043601943720568	0.12938338898464852	0.1519093697198538
MBD2.hg38	0.0411048811249324	0.01588439718766902	0.01784403529508168	0.003525381549404257	0.1236367734836915	0.14047065376356274
MECOM.hg38	0.02768804845862629	0.01608480670632775	0.008657647337627201	0.005134732700722727	0.22211624173040814	0.21789713506061292
MECP2.hg38	0.042713284586262855	0.013246293672255277	0.011611644640018345	0.002642267689332484	0.1379270971744474	0.15331995097295453
MEF2A.hg38	0.012561855705786915	0.010829494970254204	0.0026574627136699623	0.002452428070865477	0.12751651324756866	0.13337233225889097
MEF2B.hg38	0.013195769388858847	0.011652870200108176	0.0030592727338282677	0.003057682039431616	0.1254553099348055	0.1342410245280477
MEF2C.hg38	0.01003081189832342	0.009001263818280142	0.002206167130471831	0.002145149673041954	0.1081440736051418	0.10731314575935484
MEIS1.hg38	0.017530117144402384	0.01224640097349918	0.0039437021158037966	0.0027617035055804194	0.12537198492318868	0.1314164778092234
MEIS2.hg38	0.02087653531638724	0.014359096376419687	0.0034760830260419347	0.0023909588737564824	0.14424708448583382	0.14749670675962617
MITF.hg38	0.038291500270416445	0.012368449540292047	0.00903975238048415	0.0033379853876788447	0.13018353679947903	0.12429162461867249
MIXL1.hg38	0.023482049432125465	0.01714131097890752	0.0051804456495730565	0.004030881495321	0.2366292991782776	0.2536985102956031
MNT.hg38	0.03382585397512169	0.017975996430502978	0.01255154187521513	0.00461923050625235	0.10559131582428954	0.10526067984732368
MSC.hg38	0.016285648242293123	0.010033077122769062	0.005930488611370601	0.004417102145303772	0.18334360164509145	0.17979826615284777
MXI1.hg38	0.03702748415359654	0.017408495186587346	0.020260277165380147	0.006640906570300066	0.12872795170596388	0.15295688265428026
MYB.hg38	0.022213692374256352	0.012667206489994594	0.007335127128505151	0.0036599499352639453	0.15754013784033452	0.15138034001593495
MYBL2.hg38	0.025617505895078413	0.014796784748512714	0.006309294147532635	0.0038396116951013703	0.1427199948089011	0.15690911322190954
MYC.hg38	0.039713411465657114	0.019055227474310443	0.023565916580625047	0.007880632371306337	0.14694232231455584	0.1517780018727522
MYCN.hg38	0.040412585073012444	0.018086434829637642	0.019899231771473524	0.0065887723978563595	0.16219935234027885	0.1620015041992012
MYF5.hg38	0.04930845484045429	0.013363765278528937	0.007916063998557765	0.0033027698018584994	0.10616042230441439	0.10438063071444738
MYNN.hg38	0.02609460021633315	0.015507820551649537	0.00677125273940047	0.0031072598325057104	0.163702588102085	0.15826265546859455
MYOD1.hg38	0.048013402379664685	0.012426174256354793	0.011838793418227696	0.0033404489961813724	0.13064846091743249	0.13331690557036413
MYOG.hg38	0.03978545375878853	0.0121873520822066	0.0054289600898110284	0.0027398745103823755	0.09580463098749493	0.10136227459007731
NANOG.hg38	0.02469193131422391	0.01362096430502973	0.003142600308110855	0.0028338512742350414	0.10888826438848981	0.10665193601584612
NEUROD1.hg38	0.019224389291508923	0.012381710978907516	0.0057990151334873915	0.00284502128587114	0.09597070964381933	0.10425402259078623
NEUROG2.hg38	0.042229479502433755	0.011990352298539751	0.004897478853434281	0.002688639415244956	0.12878964371248405	0.129557234912115
NFATC1.hg38	0.0379182603569497	0.016595629962141704	0.018425344936657	0.005999621567759822	0.13169649631094152	0.11377088089074605
NFATC3.hg38	0.04071862920497566	0.009219326338561384	0.00797558748873264	0.002743598020223884	0.1261884930526178	0.11789920068288845
NFE2.hg38	0.025493033207138992	0.019322999999999996	0.0069493100414638465	0.004458692629922811	0.25955641577853056	0.2688365322553793
NFE2L2.hg38	0.016641119632233647	0.01457008101676581	0.0032202351967484566	0.002778446078961584	0.23422200282275912	0.23984892318182519
NFIA.hg38	0.027730087614926967	0.01285961038399134	0.006034544392546339	0.0032021101889637108	0.1584201098611979	0.15872518969563792
NFIB.hg38	0.024319307409410497	0.009272905137912388	0.006123147667043657	0.0023360512054017937	0.13661788474432415	0.1286979323303511
NFIC.hg38	0.028378995348837196	0.01332082704164414	0.005888249422292133	0.00313383473458215	0.1671548861056496	0.16889705329308063
NFIL3.hg38	0.02065661189832342	0.014933694753921046	0.003512916334791958	0.0028575881672320766	0.15411068153648438	0.15731841395161902
NFKB1.hg38	0.02017320919415899	0.011945801514332076	0.004319640444466318	0.0028623971516134787	0.14961123695307704	0.15259728268904665
NFKB2.hg38	0.022147292374256358	0.011402049756625194	0.006492794516282356	0.003093600947276978	0.14647622378229222	0.147258081983453
NFYA.hg38	0.050991133044889135	0.022741889021092483	0.023388211590212555	0.0075642476916268995	0.18068582330599203	0.18996179193665083
NFYC.hg38	0.034827745808545155	0.01601833715521905	0.01716722848058738	0.005528419443761532	0.13864406810631708	0.15447603977713767
NKX2-1.hg38	0.032515529475392095	0.014717919415900484	0.0033199351852762743	0.0023038223118146965	0.1284356063247032	0.13188104466364964
NKX3-1.hg38	0.018734856354786344	0.013257101027582466	0.0036120968254748907	0.002340341049215822	0.10498352280678937	0.11001120780683685
NR1H2.hg38	0.023719359329367227	0.012681501676581929	0.005530711437796027	0.0032022162774308725	0.11982234244263996	0.12642768841655402
NR1H3.hg38	0.020536211573823692	0.012485500162249866	0.0034357731550223748	0.0027172836586524898	0.13775824950561621	0.1367385860989911
NR2C2.hg38	0.05231211292590588	0.023364805300162238	0.010716633430027689	0.004129487650982475	0.09800925510511103	0.09658795252072024
NR2F1.hg38	0.03175110373174689	0.009942444672796102	0.007168086795483231	0.0029449999836110834	0.10510612865251805	0.11434412631254086
NR2F2.hg38	0.025231219253650624	0.011483935532720386	0.005339024550535123	0.0028093294852254147	0.11325836086825032	0.11937786200448874
NR2F6.hg38	0.025302442833964302	0.012098122985397523	0.004623563292197202	0.0027299875608436906	0.1395041166682732	0.14233394302702665
NR3C1.hg38	0.020619983666846958	0.014032167982693345	0.0033516694658865492	0.0025706360194699767	0.13099524368545395	0.13663351001612462
NR4A1.hg38	0.022742104597079503	0.01437223829096809	0.004541830771752156	0.0030996732484389633	0.2553709443203499	0.24516231584332782
NR5A2.hg38	0.026559889129259055	0.010255264575446184	0.006172229604864197	0.002475753488372103	0.09056264760385058	0.09622993017585463
NRF1.hg38	0.037609875608436996	0.016369788426176334	0.021522676034547772	0.006118058252618151	0.15765646782944243	0.16958457483058884
ONECUT2.hg38	0.030198148188209845	0.012892552190373168	0.005605260494616307	0.0019236327220282503	0.12561557381641006	0.14208923056264078
OSR2.hg38	0.02366478756084372	0.011235200648999471	0.004492279168100707	0.0029714264877001503	0.10965540384320466	0.11267540851962682
OTX2.hg38	0.018212278745267724	0.014567495943753372	0.0028167219496205947	0.0024220471409607085	0.11715186307925643	0.11725457174679449
OVOL2.hg38	0.011474521362898869	0.010613308058409945	0.005235386161233768	0.0024105331333890696	0.12868542016785822	0.14000902813149546
PAX3.hg38	0.02463346241211465	0.0176196322336398	0.0027195598341445337	0.0025651714276349507	0.090746836845403	0.09239484626973198
PAX5.hg38	0.030193628123309894	0.011494680908599243	0.008039299959027796	0.003408639802022394	0.12704923620718975	0.13710830559128404
PBX1.hg38	0.026725793726338567	0.009684720605732828	0.006630552141206587	0.0026541238408968456	0.16286132053540836	0.16105355386041187
PBX2.hg38	0.01824695835586803	0.013200780854515957	0.0041244806562105866	0.0026243128439615744	0.13208558303312554	0.13684007575211143
PBX3.hg38	0.023095560411032993	0.014841401946998376	0.004761661913892841	0.0031612039759410944	0.13830384569485	0.14477734434414022
PBX4.hg38	0.026500178799351005	0.018205880043266624	0.002513179143517367	0.002278617831096254	0.11074822495946604	0.1103387663559858
PDX1.hg38	0.023293515413737163	0.012589984424012973	0.0037950004261107367	0.002631411164101809	0.10881924392775105	0.11716314758738705
PGR.hg38	0.023654130881557597	0.015202608220659816	0.004594741966992805	0.0027182286641427808	0.09864695996082427	0.10474538475316653
PHOX2B.hg38	0.035691002920497567	0.03780559275283935	0.005376607843715674	0.0034998699608305667	0.14066175581071336	0.2004108944865203
PITX3.hg38	0.023496659167117354	0.012580589183342348	0.003975881623154204	0.003179196591113907	0.12078502632105732	0.12665469553100198
PKNOX1.hg38	0.02268143764196863	0.012398216333153052	0.006894455987675559	0.003272965960306154	0.12728323879780135	0.13964879835219432
PLAG1.hg38	0.03712781233098972	0.011737790589507835	0.012333060540505085	0.00345818461740169	0.14370013430147463	0.1376310567677202
POU2F1.hg38	0.01360945754461871	0.012863202595997837	0.0030966244030351995	0.002889385141845738	0.12547998075919567	0.13252180640282277
POU2F2.hg38	0.025665027149810702	0.012495864899945912	0.008001706871855373	0.003866095104642944	0.13095022548631377	0.1335025796291109
POU3F2.hg38	0.06387494375338021	0.015989619361817194	0.010457940659160567	0.002919669216775648	0.10632569241662534	0.11049821464290914
POU5F1.hg38	0.01971059578150353	0.010805555543537054	0.004573144343379709	0.002554609846436235	0.09083036279101674	0.09879482118673551
PPARD.hg38	0.06599683720930233	0.023750023580313685	0.009436027172755138	0.0039556366061917906	0.13668937245888665	0.1375789439155863
PPARG.hg38	0.023753310978907524	0.013007052460789615	0.004945629647475307	0.003264002707442186	0.14661575535415536	0.1534430445579911
PRDM1.hg38	0.028165581179015676	0.034901889670091925	0.003803109241686743	0.003099468944720305	0.11443649779540274	0.12271522114418126
PRDM6.hg38	0.02465034580854516	0.014410667279610595	0.005398246452627928	0.00289570298769193	0.12247520097914268	0.1334615767158544
PRDM9.hg38	0.04751935219037317	0.01889037587885344	0.006815421387482171	0.002742308071521037	0.09094092613452305	0.09960565160872753
PROX1.hg38	0.03435459383450514	0.011615093239588979	0.004741870229608127	0.002532502174803767	0.14269275197121767	0.1542999012200217
RARA.hg38	0.03688610329908059	0.014594565711195249	0.014139354773259895	0.00502358192307064	0.1286976599842868	0.12906077736576269
RARG.hg38	0.026342471822606815	0.010991166684694425	0.007067455545175983	0.002649683638985865	0.11188904283427167	0.12413665169846926
RBAK.hg38	0.06450656095186588	0.03223718464034615	0.010388532133667652	0.004120173509022082	0.08145722522640989	0.08933041107186047
RBPJ.hg38	0.036500588642509456	0.01689762671714441	0.01574315480931544	0.005775795663503608	0.14888545147969376	0.15218868469819113
REL.hg38	0.023920302541914545	0.011841664791779343	0.010272787403510498	0.004253032725306079	0.11279216755305421	0.12260222141030146
RELA.hg38	0.024986425419145485	0.01354245008112494	0.010342289280036695	0.004139732179556506	0.15642309067999224	0.17037019842332873
